,series_title,primary_work_count,series_work_count,series_description,link
291,A Mom Zone Mystery,10,10,"Ellie Avery, an Air Force wife and professional organizer, in the Mom Zone mysteries:",https://www.goodreads.com/series/59490-a-mom-zone-mystery
292,The FBI/Romance Series,15,15,"Welcome to my most controversial series! Yes, you're about to meet Elizabeth, Ethan and Callen. Together, they make up an unstoppable trio trying to balance the scales of justice, while having a life of their own. I love each character and hope that you will too!",https://www.goodreads.com/series/121376-the-fbi-romance-thriller
293,Special X,13,13,"Robert De Clerq, Zinc Chandler, and Nick Craven, members of the Special X department of the Royal Canadian Mounted Police in Vancouver, British Columbia, Canada:",https://www.goodreads.com/series/89453-special-x
294,John Lago Thriller,2,3,BOOK 1: The Intern's Handbook aka Kill Your Boss BOOK 2: Hostile Takeover aka Shoot the Messenger,https://www.goodreads.com/series/148705-john-lago-thriller
295,Karen Vail,7,9,"Karen Vail is no ordinary FBI agent. She's a profiler, brought to life by Alan Jacobson's seven years of unprecedented access to, and research with, the FBI's Behavioral Analysis Unit. The Karen Vail series has been raved about by reviewers, readers, law enforcement officers of all stripes, real FBI profilers...and even one of the legendary founding fathers of the Behavioral Analysis Unit in Quantico.",https://www.goodreads.com/series/54814-karen-vail
296,A Joanne Kilbourn Mystery,17,19,"Bowen's mystery novels feature Joanne Kilbourn, a widowed mother, political analyst and university professor who finds herself occasionally involved in criminal investigations in various parts of Saskatchewan.",https://www.goodreads.com/series/50503-a-joanne-kilbourn-mystery
297,Lou Mason Mystery,5,6,A mystery series; Lou Mason is a Kansas City trial attorney.,https://www.goodreads.com/series/43664-lou-mason-mystery
298,Jack Taylor,13,13,"Jack Taylor, dismissed from the Garda Siochana (Irish police) for drinking, now finding things for people in Galway, Ireland, since ""private eye"" sounds too much like ""informer"" to the Irish:",https://www.goodreads.com/series/50920-jack-taylor
299,Ella Clah,17,17,"Ella Clah, a former FBI agent now with Navajo police in Shiprock, New Mexico:",https://www.goodreads.com/series/52249-ella-clah
300,Deets Shanahan,10,10,"Dietrich ""Deets"" Shanahan, a 70-something former Army intelligence officer and semi-retired private investigator, in Indianapolis, Indiana:",https://www.goodreads.com/series/86434-deets-shanahan
301,The ICON Trilogy,3,3,"The exciting new trilogy from Vanessa Fewings, available from HQN books in early summer 2017.",https://www.goodreads.com/series/191986-the-icon-trilogy
302,DS Manon,2,2,Featuring Detective Sergeant Manon Bradshaw:,https://www.goodreads.com/series/187845-ds-manon-bradshaw
303,Libertus Mystery of Roman Britain,16,16,Libertus is a mosaicist and an expert in puzzles and patterns. He lives in Ancient Roman Britain and takes on problems for his clients and others.,https://www.goodreads.com/series/40929-libertus-mystery-of-roman-britain
304,Jane Whitefield,8,8,"Jane Whitefield, a Native American (Seneca) guide who helps people disappear, based in Deganawida, New York:",https://www.goodreads.com/series/41663-jane-whitefield
305,Naomi Blake,11,11,"Naomi Blake, a blind ex-policewoman in the Midlands of England:",https://www.goodreads.com/series/45843-naomi-blake
306,The Forgotten Coast,8,8,"A Florida Suspense Series The first four books of the series, Low Tide, Riptide, What Washes Up, and Landfall, lay the foundation for the entire series. There are subplots resolved in each book, but there is also an overarching plot that is not resolved until Landfall, so they should be read in sequence. Later books can be read in any order.",https://www.goodreads.com/series/164148-the-forgotten-coast
307,Dan Fortune,19,19,"Dan Fortune, a one-armed Polish-Lithuanian private investigator in New York City:",https://www.goodreads.com/series/49750-dan-fortune
308,Matthew Scudder,17,26,"Matt Scudder, a reformed alcoholic and unlicensed private eye, in New York City:",https://www.goodreads.com/series/53461-matthew-scudder
309,Sweeney St. George,4,4,"Sweeney St. George, an art history professor specializing in representations of death, in Byzantium, Vermont",https://www.goodreads.com/series/43268-sweeney-st-george
310,Dale Kinsall Mysteries,3,3,A series of mysteries featuring Veterinarian Dale Kinsall & Sully Beagle,https://www.goodreads.com/series/121230-dale-kinsall-mysteries
311,Inspector Van Veeteren,10,10,"The main character is called Van Veeteren, a detective in the early novels and later the owner of an antique books shop. These books play out in a fictitious city called Maardam, said to be located in northern Europe in a country which is never named but resembles Sweden, the Netherlands, Poland and Germany. The names however are mostly Dutch.",https://www.goodreads.com/series/53051-inspector-van-veeteren
312,Roy Grace,13,19,"Roy Grace, a Detective Superintendent of the CID, in Sussex, England:",https://www.goodreads.com/series/56853-roy-grace
313,Emmett Parker and Anna Turnipseed,5,5,"Emmett Quanah Parker, a part-Comanche, part-white Bureau of Indian Affairs agent, and Anna Turnipseed, a part-Modoc, part-Japanese FBI special agent, in New Mexico and elsewhere:",https://www.goodreads.com/series/112752-emmett-parker-and-anna-turnipseed
314,Miss Silver,32,37,"Miss Maud Silver, a retired governess and teacher who becomes a professional private detective, in London, England:",https://www.goodreads.com/series/43096-miss-silver
315,Superstition Mystery,3,3,"In the Superstition Mysteries, protagonist Rory Chasen winds up running a pet boutique in the fictional town of Destiny, California, where she goes to learn if superstitions are real--since her fiance died a short while after walking under a ladder. She brings her lucky black and white dog Pluckie along.",https://www.goodreads.com/series/143557-superstition-mystery
316,Den Cooper,4,4,"Den Cooper, a determined policeman in Devon, England:",https://www.goodreads.com/series/60651-den-cooper
317,Sigma Force,13,19,"Sigma Force, an elite covert arm of the US Defense Department made up of former Special Forces officers trained as experts in various scientific fields:",https://www.goodreads.com/series/49378-sigma-force
318,Lizzy & Diesel,3,3,"Lizzy is an Unmentionable, with a special talent for finding things that Diesel needs. The Stones of Power have re-surfaced and Diesel needs to get to them before Wulf does. The Seven Stones of Power reflect each of the Seven Deadly Sins, the stone in this book dedicated to the sin of gluttony. The stones are known by the acronym SALIGIA, from the Latin names for the sins: superbia, avaritia, luxuria, invidia, gula, ira, & acedia, or pride, greed, lust, envy, gluttony, anger, & sloth.",https://www.goodreads.com/series/49600-lizzy-diesel
319,The Amazons Quartet,4,5,"The Amazons Quartet, a four-volume saga of Sapphic passion and resistance in the face of a new male-dominated future tyranny.",https://www.goodreads.com/series/135800-the-amazons-quartet
320,Eileen Reed,3,3,"Eileen Reed is a homicide detective in Colorado Springs, Colorado.",https://www.goodreads.com/series/132563-eileen-reed
321,Roth,3,4,The Roth Trilogy traces the psychological development of a serial killer:,https://www.goodreads.com/series/44071-roth
322,Harry Devlin,8,8,Harry Devlin is a lawyer in Liverpool (England).,https://www.goodreads.com/series/50044-harry-devlin
323,Pretty Little Liars,16,25,"Also known as: * Malki sladki l'zhkini * Les Menteuses * Milye obmanshchitsy * Pequenas mentirosas * Sevimli Kucuk Yalancilar * Roztomile male lharky * Valehtelevat viettelijat * Slatke male lazljivice * Male klamarky * Giovani, carine e bugiarde * Klamczuchy * Micutele mincinoase * Valelikud vorgutajad * Sma, sote lognere * Jaunosios melage",https://www.goodreads.com/series/44031-pretty-little-liars
324,Tennyson Hardwick,4,5,"Tennyson ""Ten"" Hardwick is an actor and ex-gigolo in Hollywood and sometime private investigator. The series is co-written with Tananarive Due and Steven Barnes.",https://www.goodreads.com/series/52268-tennyson-hardwick
325,Mrs. Meade Mysteries,4,5,"A series of short (novelette-length) historical mysteries set in turn-of-the-century Colorado, featuring amateur detective Mrs. Meade, a gentle but shrewd widow lady.",https://www.goodreads.com/series/107597-mrs-meade-mysteries
326,Periodic Table,8,9,"Gloria Lamerino, a 50-something physicist in Revere Beach, Massachusetts:",https://www.goodreads.com/series/51911-periodic-table
327,DS Aector McAvoy,6,8,"Aector McAvoy, a detective sergeant in Hull, East Yorkshire, England:",https://www.goodreads.com/series/94711-ds-aector-mcavoy
328,Blackbird Sisters Mystery,11,16,"The Blackbird Sisters Mysteries feature Nora, Libby and Emma Blackbird, three Philadelphia heiresses whose parents have run off with their trust funds, forcing all three women to get jobs for the first time in their lives. Nora Blackbird becomes the assistant to a newspaper society columnist and attends parties for a living. Unfortunately, Nora also stumbles over a lot of dead bodies while she's covering the social scene on the Main Line. Follow Nora's amateur sleuthing as she solves crimes of fashion as well as aristocratic murder!",https://www.goodreads.com/series/42418-blackbird-sisters-mystery
329,Gray Man,7,7,"Also known as ""Court Gentry"" Court Gentry (The Gray Man), a former CIA operative, now an international hired assassin:",https://www.goodreads.com/series/62220-gray-man
330,Kathleen Mallory,12,12,Sgt. Kathleen Mallory is a detective with the New York Police Department.,https://www.goodreads.com/series/41347-kathleen-mallory
331,Tess Monaghan,12,13,"Tess Monaghan, a private investigator in Baltimore, Maryland:",https://www.goodreads.com/series/42144-tess-monaghan
332,Deanna Madden,3,3,"This Deanna Madden seriesis an ongoing collection of standaloneerotic thrillers, that are best enjoyed if read in order.",https://www.goodreads.com/series/117772-deanna-madden
333,Talba Wallis,4,5,"Talba Wallis (AKA Baroness de Pontalba), a black poet and computer expert, in New Orleans, Louisiana:",https://www.goodreads.com/series/52229-talba-wallis
334,Children of Vice,3,3,Sequel series to the Ruthless People series. You do not need to read the Ruthless People saga before this series.,https://www.goodreads.com/series/184876-children-of-vice
335,The Spellmans,6,9,"Isabele ""Izzy"" Spellman, a 28-year old sleuth working for her parents' private investigation firm, in San Francisco, California:",https://www.goodreads.com/series/45149-the-spellmans
336,Flavia Albia Mystery,6,7,"AKA: Falco: The New Generation Flavia Albia, the adopted daughter of Marcus Didius Falco, born in Britain, working as a private investigator during the reign of Emperor Domitian, in ancient Rome. See also: , all about dear old Dad!",https://www.goodreads.com/series/95742-flavia-albia-mystery
337,Fiona Fitzgerald Mysteries,9,9,"Who is Fiona Fitzgerald? She is the heroine of Warren Adler's acclaimed mystery series, which began with American Quartet, chosen by the New York Times as best in its genre for the year it was published. Since then she has appeared in: * American Sextet * Immaculate Deception * Senator Love * The Witch of Watergate * The Ties That Bind * Death of a Washington Madame Fiona Fitzgerald is the daughter of Senator Fitzgerald (D-N.Y.). She is in her mid-thirties and a Sergeant in the Homicide Division of the Metropolitan Washington Police Department. She has been raised in the heady social circles of the Washington establishment and is familiar with all the important players in government, the Congressional and White House crowd, Ambassadors, and the hard-core members of Washington's upper crust. Her childhood friends and schoolmates have become important political players. These wide ranging contacts give Fiona enormous access into the behind-the-scenes action that lies beneath the surface of the power structure. It is a mystery to many of her peers why she has chosen a ""blue collar"" profession in a mostly black police force. But to her, the reasons are clear. It is her way of fighting injustice and penetrating the facade of chicanery and manufactured imagery that characterizes many in the Washington establishment. Fiona is also single, though she has had numerous love interests and her relationships between lovers are continuously dissected and explored. She is attractive and tough enough to cope in a macho racist male-dominated world and can operate with equal dispatch in all layers of Washington's highly structured ""class"" society. She has not, as yet, been able to establish a truly satisfying relationship with a man, although she is constantly searching for such a permanent relationship. She is a woman driven by strong passions, both physically and intellectually. Nor does she suffer fools with toleration. She is often outspoken and opinionated and is constantly battling the intrigues of male domination in both her work and social life. She lives in a beautiful house in Washington and is in demand as a date by important Washington types. Because of her political background, she has enormous insight into the machinations of ""power-people"" -- their foibles and motivations, their obsessions and vulnerabilities-- insight that assists her enormously in her crime solving activities. Because she is so tied in with the establishment, she is, invariably, charged by her superiors to solve those crimes which deal with people in high places. She has had a number of partners, both male and female, all richly characterized. She has a special relationship with her boss, the over-worked ""eggplant,"" whom she both admires, reviles, and ultimately respects. Her closest friend and confidant is the Chief Pathologist of the Washington MPD, an older black man and a widower, who helps her deal with and understand her deeper impulses. http://www.warrenadler.com/title-fitzgerald.shtml",https://www.goodreads.com/series/44571-fiona-fitzgerald-mysteries
